query
 
Can you recommend places or activities in San Francisco that include fine dining, museums, food festivals and are great for safe neighborhoods, scenic views?
Joshua	67	['parks', 'historical landmarks', 'luxury shopping']	['luxury experiences', 'accessible locations']	Can you recommend places or activities in San Francisco that include parks, historical landmarks, luxury shopping and are great for luxury experiences, accessible locations?
Katherine	43	['coffee culture', 'co-working spaces', 'wine tasting']	['luxury experiences', 'scenic views']	Can you recommend places or activities in San Francisco that include coffee culture, co-working spaces, wine tasting and are great for luxury experiences, scenic views?
Amy	36	['parks', 'boutique shopping', 'farmers markets']	['pet-friendly', 'local recommendations']	Can you recommend places or activities in San Francisco that include parks, boutique shopping, farmers markets and are great for pet-friendly, local recommendations?
James	29	['luxury shopping', 'sports events', 'co-working spaces']	['safe neighborhoods', 'community-focused spaces']	Can you recommend places or activities in San Francisco that include luxury shopping, sports events, co-working spaces and are great for safe neighborhoods, community-focused spaces?
Larry	54	['cultural festivals', 'networking events', 'historical landmarks']	['local recommendations', 'accessible locations']	Can you recommend places or activities in San Francisco that include cultural festivals, networking events, historical landmarks and are great for local recommendations, accessible locations?
Zachary	43	['co-working spaces', 'hiking', 'cultural festivals']	['authentic experiences', 'safe neighborhoods']	Can you recommend places or activities in San Francisco that include co-working spaces, hiking, cultural festivals and are great for authentic experiences, safe neighborhoods?
Dennis	67	['food festivals', 'nightlife', 'parks']	['authentic experiences', 'opportunities to meet locals']	Can you recommend places or activities in San Francisco that include food festivals, nightlife, parks and are great for authentic experiences, opportunities to meet locals?
Alexandra	50	['yoga retreats', 'sustainable practices', 'fine dining']	['eco-friendly options', 'authentic experiences']	Can you recommend places or activities in San Francisco that include yoga retreats, sustainable practices, fine dining and are great for eco-friendly options, authentic experiences?
Heather	48	['sustainable practices', 'sports events', 'scenic spots']	['trendy neighborhoods', 'eco-friendly options']	Can you recommend places or activities in San Francisco that include sustainable practices, sports events, scenic spots and are great for trendy neighborhoods, eco-friendly options?
Jennifer	39	['tech meetups', 'hiking', 'scenic spots']	['active adventures', 'quiet locations']	Can you recommend places or activities in San Francisco that include tech meetups, hiking, scenic spots and are great for active adventures, quiet locations?
Cynthia	21	['historical landmarks', 'fine dining', 'art galleries']	['community-focused spaces', 'comfortable accommodations']	Can you recommend places or activities in San Francisco that include historical landmarks, fine dining, art galleries and are great for community-focused spaces, comfortable accommodations?
Tanner	45	['wine tasting', 'community activities', 'parks']	['pet-friendly', 'active adventures']	Can you recommend places or activities in San Francisco that include wine tasting, community activities, parks and are great for pet-friendly, active adventures?
Bonnie	62	['luxury shopping', 'networking events', 'farmers markets']	['luxury experiences', 'cultural immersion']	Can you recommend places or activities in San Francisco that include luxury shopping, networking events, farmers markets and are great for luxury experiences, cultural immersion?
Heidi	55	['live music', 'parks', 'historical landmarks']	['local recommendations', 'family-oriented events']	Can you recommend places or activities in San Francisco that include live music, parks, historical landmarks and are great for local recommendations, family-oriented events?
Jasmine	22	['photography', 'cultural festivals', 'eco-tourism']	['exclusive access', 'authentic experiences']	Can you recommend places or activities in San Francisco that include photography, cultural festivals, eco-tourism and are great for exclusive access, authentic experiences?
Virginia	36	['sports events', 'networking events', 'beach activities']	['budget-friendly', 'opportunities to meet locals']	Can you recommend places or activities in San Francisco that include sports events, networking events, beach activities and are great for budget-friendly, opportunities to meet locals?
